INFO:root:Inference Time: 50.85333228111267
INFO:root:('MSE: ', '0.06255608797073364', ' MAE: ', '0.058404501527547836')
INFO:root:('Model values - MAE: ', '509.2703359219496', ' SAE: ', '4074162.6873755967')
INFO:root:('Real values - MAE: ', '368453.50055168505', ' SAE: ', '2947628004.4134803')
INFO:root:('Model values - MAE: ', '525.5530355874548', ' SAE: ', '4204424.284699638')
INFO:root:('Real values - MAE: ', '390278.9121675718', ' SAE: ', '3122231297.3405743')
INFO:root:('Model values - MAE: ', '467.65058045150744', ' SAE: ', '3741204.6436120593')
INFO:root:('Real values - MAE: ', '369231.18552297103', ' SAE: ', '2953849484.1837683')
INFO:root:('Model values - MAE: ', '480.902662995402', ' SAE: ', '3847221.303963216')
INFO:root:('Real values - MAE: ', '356805.8906263301', ' SAE: ', '2854447125.0106406')
INFO:root:('Model values - MAE: ', '427.96394213101803', ' SAE: ', '3423711.5370481443')
INFO:root:('Real values - MAE: ', '342370.9554206254', ' SAE: ', '2738967643.365003')
INFO:root:('Model values - MAE: ', '419.71586668869196', ' SAE: ', '419715.86668869195')
INFO:root:('Real values - MAE: ', '335772.6907750098', ' SAE: ', '335772690.7750098')
INFO:root:('Model values - MAE: ', '708.8326548708418', ' SAE: ', '5670661.238966734')
INFO:root:('Real values - MAE: ', '558716.0731541226', ' SAE: ', '4469728585.232981')
INFO:root:('Model values - MAE: ', '687.2610847449864', ' SAE: ', '687261.0847449864')
INFO:root:('Real values - MAE: ', '546869.6577314204', ' SAE: ', '546869657.7314204')
INFO:root:('Model values - MAE: ', '990.4023613611387', ' SAE: ', '7923218.890889109')
INFO:root:('Real values - MAE: ', '783217.2229818337', ' SAE: ', '6265737783.85467')
INFO:root:('Model values - MAE: ', '994.5499495830691', ' SAE: ', '994549.9495830691')
INFO:root:('Real values - MAE: ', '795639.9611952227', ' SAE: ', '795639961.1952227')
